Gene ID	Gene Name	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1a Paris classification'.p-value	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1a Paris classification'.log2foldchange	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1b Paris classification'.p-value	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1b Paris classification'.log2foldchange
ENSG00000003096	KLHL13	0.049291969297287	-0.5	0.000300790730949658	-0.4
ENSG00000003137	CYP26B1	0.302629595154523	0.4	1.04263570922782e-08	1.5
ENSG00000003147	ICA1	0.0169183994750736	0.4	0.0578176043703009	0.2
ENSG00000003249	DBNDD1	0.036626921842517	0.6	0.0092629531795188	0.5
ENSG00000003393	ALS2	0.302232514850997	-0.2	0.0480923719029181	-0.2
ENSG00000003400	CASP10	6.11856905003554e-05	0.8	3.48540440857917e-05	0.4
ENSG00000003402	CFLAR	0.331582216069914	0.1	0.0199159820847436	0.2
ENSG00000003436	TFPI	0.423835552364486	-0.1	0.232129839356035	0.1
ENSG00000003509	NDUFAF7	0.310297595018433	-0.1	0.00273656735411417	-0.2
ENSG00000003756	RBM5	0.953052113850938	0	0.00729783493703365	-0.2
ENSG00000003987	MTMR7	0.404975073896276	-0.2	0.279585621386455	-0.1
ENSG00000003989	SLC7A2	0.686336837216925	0.1	0.0494669208962532	0.2
ENSG00000004059	ARF5	0.628894259983383	0.1	0.907838917430004	0
ENSG00000004139	SARM1	0.174587748707078	-0.3	0.0384026745158114	-0.2
ENSG00000004142	POLDIP2	0.703682691849984	-0.1	0.437099809829482	-0.1
ENSG00000004399	PLXND1	0.0469938774622407	0.5	4.24766005682735e-08	0.7
ENSG00000004455	AK2	0.372314382639249	-0.1	0.00100902900390694	-0.2
ENSG00000004468	CD38	0.0848049867339508	0.5	0.00169838658843617	0.5
ENSG00000004478	FKBP4	0.581453387491972	-0.1	0.535954313205261	-0.1
ENSG00000004487	KDM1A	0.73497372518739	0	0.0517860148576891	-0.1
ENSG00000004534	RBM6	0.967883999189168	0	0.0092639205766593	-0.3
ENSG00000004660	CAMKK1	0.000741301679404623	0.5	0.000136524426362703	0.3
ENSG00000004700	RECQL	0.972983322438353	0	0.211693188699013	0.2
ENSG00000004766	VPS50	0.90475255155203	0	0.645423780382026	0
ENSG00000004776	HSPB6	0.264818413141589	0.4	0.188961168708677	0.3
ENSG00000004777	ARHGAP33	0.617147794803525	0.2	0.825574771611009	0
ENSG00000004779	NDUFAB1	0.926937042036752	0	0.566117156669009	-0.1
ENSG00000004799	PDK4	0.376135178278128	-0.4	0.0976685775531883	-0.4
ENSG00000004809	SLC22A16	NA	0.4	0.00069445489881154	1.4
ENSG00000004838	ZMYND10	0.693544144316674	-0.2	0.306266269802837	-0.2
ENSG00000004846	ABCB5	0.0721227048199069	-0.7	0.261417061254195	-0.3
ENSG00000004848	ARX	0.137193655358448	0.4	0.565518058344536	0.1
ENSG00000004864	SLC25A13	0.703707679403636	-0.1	0.744765757207242	0
ENSG00000004866	ST7	0.0193085816552679	0.2	3.7509741884749e-05	0.2
ENSG00000004897	CDC27	0.609310924842335	0.1	3.36299852676632e-05	0.2
ENSG00000004939	SLC4A1	0.768870450014719	-0.2	0.482669953084338	-0.2
ENSG00000004948	CALCR	0.168445652551838	-0.6	0.0234890509970234	-0.6
ENSG00000004961	HCCS	0.486729294070991	-0.1	0.638232665009357	0
ENSG00000004975	DVL2	0.980711591209493	0	0.00699480958627292	-0.1
ENSG00000005001	PRSS22	1.02258982478644e-05	1.6	1.04979407870275e-15	1.9
ENSG00000005007	UPF1	0.916019230322325	0	0.828149986316291	0
ENSG00000005020	SKAP2	0.200846106674496	-0.2	0.997992710917904	0
ENSG00000005022	SLC25A5	0.193962713283115	-0.4	0.00722865135295981	-0.4
ENSG00000005059	MCUB	0.809198193167727	0.1	0.292370122916731	0.1
ENSG00000005073	HOXA11	0.019129286440901	1.1	7.00910790131812e-07	1.6
ENSG00000005075	POLR2J	0.771959526548554	0.1	0.0785260110871664	-0.3
ENSG00000005100	DHX33	0.855957188904922	0	0.783469000293705	0
ENSG00000005102	MEOX1	0.0292578969359511	0.8	9.63358824122525e-11	1.2
ENSG00000005108	THSD7A	0.994139626351773	0	0.00409022421003597	0.5
ENSG00000005156	LIG3	0.733071822703282	-0.1	0.47102426112284	0
ENSG00000005175	RPAP3	0.0205070381057341	-0.2	0.22594415509179	-0.1
ENSG00000005187	ACSM3	0.979701665889525	0	0.267574016404707	0.2
ENSG00000005189	REXO5	0.933828640820164	0	0.227093938815721	0.1
ENSG00000005194	CIAPIN1	0.0534037332219404	0.2	0.153475915887743	0.1
ENSG00000005206	SPPL2B	0.925313662629249	0	0.000347344685880748	-0.3
ENSG00000005238	FAM214B	0.0761732010951796	0.3	6.61463973739187e-06	0.4
ENSG00000005243	COPZ2	0.00328192493087106	0.7	1.66121973410484e-05	0.7
ENSG00000005249	PRKAR2B	0.137232613957746	0.4	3.19216428888194e-10	0.7
ENSG00000005302	MSL3	0.800315158085841	0.1	0.599736707869799	0.1
ENSG00000005339	CREBBP	0.0570750988375487	-0.3	0.0468863990061401	-0.1
ENSG00000005379	TSPOAP1	0.609924612252535	-0.2	0.00197937934496683	-0.4
ENSG00000005381	MPO	0.00844435480083634	1	7.58718482472137e-07	1.4
ENSG00000005421	PON1	0.263959366205404	-0.6	0.0743345302632548	-0.6
ENSG00000005436	GCFC2	0.303856707931034	-0.1	0.0786583043967825	-0.1
ENSG00000005448	WDR54	0.437235705978908	0.2	0.854594565669299	0
ENSG00000005469	CROT	0.0826254314496048	-0.4	0.00265876026136618	-0.4
ENSG00000005471	ABCB4	0.254731343345031	-0.4	0.000181901721717406	-0.6
ENSG00000005483	KMT2E	0.0771118563274796	-0.4	0.402105611712333	-0.1
ENSG00000005486	RHBDD2	0.46137231422444	0.2	0.813530643947272	0
ENSG00000005513	SOX8	0.0363234397983261	-0.8	3.49600092609776e-07	-1.1
ENSG00000005700	IBTK	0.753078477119227	0.1	0.00321267959875165	0.2
ENSG00000005801	ZNF195	0.241856573006798	-0.2	0.0742245622857132	-0.1
ENSG00000005810	MYCBP2	0.774967408905074	-0.1	0.444614563473471	-0.1
ENSG00000005812	FBXL3	0.00362953057245462	-0.4	0.00159089583015587	-0.2
ENSG00000005844	ITGAL	0.806735838373742	-0.1	0.256557961808065	-0.2
ENSG00000005882	PDK2	0.00169729490278987	-0.7	2.62403463715149e-05	-0.7
ENSG00000005884	ITGA3	0.323086230393194	-0.2	0.000196058590393325	-0.4
ENSG00000005889	ZFX	0.81848061142348	-0.1	0.507089706809626	-0.1
ENSG00000005893	LAMP2	0.0771848057942038	-0.2	0.564135818027815	0.1
ENSG00000005961	ITGA2B	0.205779446086138	0.5	0.0135655191961973	0.6
ENSG00000005981	ASB4	0.893539570938319	-0.1	0.00694302562266149	-0.5
ENSG00000006007	GDE1	0.756356890908833	-0.1	0.482531355424326	0.1
ENSG00000006015	REX1BD	0.292399308267849	0.3	0.26364289983654	-0.2
ENSG00000006016	CRLF1	0.834127678431461	0.1	0.744112965669885	0.1
ENSG00000006025	OSBPL7	0.561721058733451	-0.2	0.00139855520917836	-0.4
ENSG00000006042	TMEM98	0.201422405267467	-0.4	0.00188242965722139	-0.4
ENSG00000006047	YBX2	0.973303627705619	0	0.090985742391457	-0.4
ENSG00000006059	KRT33A	NA	0	NA	0
ENSG00000006062	MAP3K14	0.934389461515975	0	0.057768674265113	-0.2
ENSG00000006071	ABCC8	0.936221250306545	0	0.399170777806571	-0.2
ENSG00000006116	CACNG3	NA	-0.1	0.295082429911198	-0.5
ENSG00000006118	TMEM132A	0.000931176351611809	1.1	5.22689169812257e-15	1.8
ENSG00000006125	AP2B1	0.929179444382652	0	0.00154068111302407	0.2
ENSG00000006128	TAC1	0.0472468601145798	0.9	0.0357376143964026	0.7
ENSG00000006194	ZNF263	0.848198984635565	0	5.98409860882372e-05	-0.2
ENSG00000006210	CX3CL1	0.106781272634971	0.5	2.99900738563835e-05	0.5
ENSG00000006282	SPATA20	0.0377529456335568	0.4	0.0045221008956643	0.3
ENSG00000006283	CACNA1G	0.109285184566912	-0.6	0.216381488548589	-0.3
ENSG00000006327	TNFRSF12A	0.111720409131666	0.5	0.0053699695960039	0.4
ENSG00000006377	DLX6	NA	0.2	NA	-0.3
ENSG00000006432	MAP3K9	0.256978607796614	-0.2	0.422564164816246	-0.1
ENSG00000006451	RALA	0.857344944186292	0	0.32210766349216	0.1
ENSG00000006453	BAIAP2L1	0.00947951070712049	0.6	0.00303879014990895	0.4
ENSG00000006459	KDM7A	0.508019329472967	-0.1	0.786323657936251	0
ENSG00000006468	ETV1	0.706201154951132	0.1	1.46453077984555e-05	0.5
ENSG00000006530	AGK	0.563186462149284	0.1	0.714063724425633	0
ENSG00000006534	ALDH3B1	0.375038720005455	-0.2	0.00905550691786454	-0.3
ENSG00000006555	TTC22	0.686904342867567	-0.2	0.0261828194216345	-0.4
ENSG00000006576	PHTF2	0.834995245495818	-0.1	0.750628034144403	0
ENSG00000006606	CCL26	0.0362280712469194	0.9	0.239468807272303	0.3
ENSG00000006607	FARP2	0.651707865682892	0.1	0.115200043821206	0.2
ENSG00000006611	USH1C	0.251135406042341	-0.4	0.00372159938397554	-0.5
ENSG00000006625	GGCT	0.237912782891884	0.3	0.0854962722997552	0.2
ENSG00000006634	DBF4	0.978437064824448	0	0.0180922127215077	0.2
ENSG00000006638	TBXA2R	0.863365862688256	-0.1	0.979004883516414	0
ENSG00000006652	IFRD1	0.571982098409882	-0.1	0.181618555328352	-0.1
ENSG00000006659	LGALS14	NA	0.1	NA	0
ENSG00000006695	COX10	0.0842212561010973	-0.2	0.00121488617117088	-0.2
ENSG00000006704	GTF2IRD1	0.466155923052461	0.2	4.91941268958809e-05	0.4
ENSG00000006712	PAF1	0.854517023653061	0	0.977089954124535	0
ENSG00000006715	VPS41	0.622236764751437	-0.1	0.860733388920974	0
ENSG00000006740	ARHGAP44	0.0224613443059664	0.5	4.68968251473229e-05	0.6
ENSG00000006744	ELAC2	0.787823245169386	0	0.910886397951379	0
ENSG00000006747	SCIN	0.0424082905616731	-0.7	4.9124516064944e-05	-0.9
ENSG00000006756	ARSD	0.823706923294335	-0.1	0.359214008300465	-0.1
ENSG00000006757	PNPLA4	0.963829534009761	0	0.1505700483366	-0.2
ENSG00000006788	MYH13	0.00588916992522703	1.1	0.0311492275773882	0.6
ENSG00000006831	ADIPOR2	0.169547338992737	-0.2	0.0194621732834207	-0.2
ENSG00000006837	CDKL3	0.885429846625886	0.1	0.303715026415209	-0.2
ENSG00000007001	UPP2	NA	-0.1	0.853567516317349	-0.1
ENSG00000007038	PRSS21	0.251108427335083	0.5	0.000251723889652618	0.8
ENSG00000007047	MARK4	0.477541708058191	0.1	0.0320421429046809	0.1
ENSG00000007062	PROM1	0.478784068648137	-0.2	0.0585237244132253	-0.4
ENSG00000007080	CCDC124	0.402071491609744	0.2	0.809614264579466	0
ENSG00000007129	CEACAM21	0.224966805184883	0.4	0.812688852828453	0
ENSG00000007168	PAFAH1B1	0.0085783278919283	-0.2	7.39280462490011e-05	-0.2
ENSG00000007171	NOS2	4.60600072678553e-10	2.1	1.71604961810062e-10	1.5
ENSG00000007174	DNAH9	0.835521122664985	0.1	0.841757711081641	0
ENSG00000007202	KIAA0100	0.365533678829716	-0.1	0.45986908477874	0
ENSG00000007216	SLC13A2	0.173518750177437	-0.6	7.77324322615934e-06	-1.2
ENSG00000007237	GAS7	0.295340137347238	0.3	9.15787347604941e-05	0.4
ENSG00000007255	TRAPPC6A	0.820322248172488	-0.1	0.103874689700681	-0.3
ENSG00000007264	MATK	0.352094041174173	-0.3	5.28316868455352e-10	-0.8
ENSG00000007306	CEACAM7	1.35248896190543e-08	2.3	5.81234796110968e-09	2.2
ENSG00000007312	CD79B	0.318759640383952	-0.5	0.0136406481526252	-0.6
ENSG00000007314	SCN4A	0.333742364549806	-0.4	0.00586962736676182	-0.5
ENSG00000007341	ST7L	0.696455290547578	0.1	0.762631536477544	0
ENSG00000007350	TKTL1	0.163119099829315	0.6	0.25850204095531	0.3
ENSG00000007372	PAX6	0.917557211285552	0	0.0828286897831451	-0.2
ENSG00000007376	RPUSD1	0.572781656466268	0.1	0.828064300995232	0
ENSG00000007384	RHBDF1	1.71801935656302e-05	0.6	2.06166106449722e-11	0.6
ENSG00000007392	LUC7L	0.886522943998128	0	0.00584861187811882	-0.2
ENSG00000007402	CACNA2D2	0.690714768660026	-0.1	0.179443441326296	-0.2
ENSG00000007516	BAIAP3	0.0741669967213955	-0.5	1.59244867147559e-09	-0.8
ENSG00000007520	TSR3	0.804039932390083	0.1	0.73155873577089	0
ENSG00000007541	PIGQ	0.00518502051008969	0.5	0.0549059778348075	0.2
ENSG00000007545	CRAMP1	0.84743264051614	0	0.672935275693806	0
ENSG00000007866	TEAD3	0.551978632744714	0.1	0.802799967882837	0
ENSG00000007908	SELE	1.79242570860429e-05	1.8	1.59250873753784e-20	3
ENSG00000007923	DNAJC11	0.952690847206032	0	0.25099625868284	0.1
ENSG00000007933	FMO3	0.335133397675641	0.5	1.22850680460709e-06	1.1
ENSG00000007944	MYLIP	0.519252123416124	-0.1	0.563256939690572	-0.1
ENSG00000007952	NOX1	0.503729143009781	0.4	1.05244023922767e-05	1.3
ENSG00000007968	E2F2	0.151210177348912	-0.3	0.48987509593548	-0.1
ENSG00000008018	PSMB1	0.617328771894303	0.1	0.737569850242376	0.1
ENSG00000008056	SYN1	0.713503404363156	-0.2	0.730825536124598	0.1
ENSG00000008083	JARID2	0.277313878980501	-0.1	0.294765728179103	-0.1
ENSG00000008086	CDKL5	0.559031518927655	-0.1	0.0506769641587154	0.2
ENSG00000008118	CAMK1G	0.575046842818598	0.3	7.2141160834954e-05	1.1
ENSG00000008128	CDK11A	0.796280091222908	-0.1	0.520691351436617	-0.1
ENSG00000008130	NADK	0.0291545970803404	0.2	0.000306828208898678	0.2
ENSG00000008196	TFAP2B	NA	0	NA	0
ENSG00000008197	TFAP2D	NA	0	NA	0
ENSG00000008226	DLEC1	0.873959150648003	-0.1	0.416076781459695	-0.1
ENSG00000008256	CYTH3	0.189422429285416	-0.2	0.009811046501553	-0.3
ENSG00000008277	ADAM22	0.0544150466296545	-0.4	0.00063277844111766	-0.5
ENSG00000008282	SYPL1	0.441702765021003	-0.1	0.69994702797028	0
ENSG00000008283	CYB561	0.56711537027722	0.1	0.247359954055349	0.1
ENSG00000008294	SPAG9	0.388252839052118	-0.2	0.236407118743603	-0.1
ENSG00000008300	CELSR3	0.976644566979617	0	0.699747245402986	-0.1
ENSG00000008311	AASS	0.40860301222074	0.3	0.362797291548337	0.1
ENSG00000008323	PLEKHG6	0.137962516898927	-0.5	4.24738240936974e-06	-0.9
ENSG00000008324	SS18L2	0.577558957400069	-0.2	0.00466195903028295	-0.3
ENSG00000008382	MPND	0.939841349183877	0	0.0617338498838319	-0.3
ENSG00000008394	MGST1	0.958216858605031	0	0.0342735561155433	0.3
ENSG00000008405	CRY1	0.601010333620301	0.1	0.521765924100056	0.1
ENSG00000008438	PGLYRP1	0.0202998186372233	1	5.75423698167557e-10	1.8
ENSG00000008441	NFIX	0.935878841373996	0	0.317489028781164	0.1
ENSG00000008513	ST3GAL1	0.917802190646859	0	0.0565601091692375	0.3
ENSG00000008516	MMP25	0.00013238880932625	1.1	1.73988278261134e-07	1.1
ENSG00000008517	IL32	0.898969855300987	0.1	0.0010591592101919	-0.6
ENSG00000008710	PKD1	0.568694441818013	0.1	0.877583233886843	0
ENSG00000008735	MAPK8IP2	0.463049060408131	-0.3	0.264194702949521	-0.2
ENSG00000008838	MED24	0.186054147193416	0.1	0.968640312555144	0
ENSG00000008853	RHOBTB2	0.00111125096059698	-0.8	2.02461569287958e-09	-0.9
ENSG00000008869	HEATR5B	0.0675424479944875	-0.3	0.000569480796829684	-0.3
ENSG00000008952	SEC62	0.185412624759526	-0.2	0.748150871782392	0
ENSG00000008988	RPS20	0.504579021096277	-0.2	0.168650489410738	-0.2
ENSG00000009307	CSDE1	0.000260953465699621	-0.3	0.000482456482969615	-0.2
ENSG00000009335	UBE3C	0.662573651692992	-0.1	0.536557751703452	0.1
ENSG00000009413	REV3L	0.552267171975719	-0.1	0.920761048871707	0
ENSG00000009694	TENM1	0.135213842578105	-0.5	0.0136467124968618	-0.4
ENSG00000009709	PAX7	NA	0	NA	0
ENSG00000009724	MASP2	0.106205086762187	-0.5	0.0699076205379206	-0.3
ENSG00000009765	IYD	0.0802972471957748	-0.6	0.00295848933659567	-0.7
ENSG00000009780	FAM76A	0.21883154218812	-0.1	0.0649431929317959	-0.1
ENSG00000009790	TRAF3IP3	0.849796008558174	-0.1	0.036427853911244	-0.4
ENSG00000009830	POMT2	0.953934095368292	0	0.809692426828071	0
ENSG00000009844	VTA1	0.127554238900208	-0.2	0.259778277864521	-0.1
ENSG00000009950	MLXIPL	0.471010963051248	-0.3	0.000178039667684798	-0.9
ENSG00000009954	BAZ1B	0.0251525552561238	-0.2	0.0406976900241018	-0.1
ENSG00000010017	RANBP9	0.242947031667701	-0.1	0.262396723135241	0.1
ENSG00000010030	ETV7	5.70916327196532e-08	0.9	0.0185628405277583	0.3
ENSG00000010072	SPRTN	0.975432056754739	0	0.0115743889116184	0.2
ENSG00000010165	EEF1AKNMT	0.807303936616067	0	0.935447332944561	0
ENSG00000010219	DYRK4	0.111559879192817	0.2	0.351688986556562	0.1
ENSG00000010244	ZNF207	0.533716091406478	0.1	0.0629201868580866	0.1
ENSG00000010256	UQCRC1	0.882837755314951	0	0.254559147046795	-0.2
ENSG00000010270	STARD3NL	0.236503931242776	0.1	0.000163625647334958	0.2
ENSG00000010278	CD9	0.570558564757439	0.2	0.310118692147742	0.1
ENSG00000010282	HHATL	NA	-0.3	0.000298753685918021	-1.3
ENSG00000010292	NCAPD2	0.15686096598901	-0.2	0.408900965221145	-0.1
ENSG00000010295	IFFO1	0.0385825365089583	0.5	0.0402625576310322	0.3
ENSG00000010310	GIPR	0.0103083710457768	0.6	0.00903682918060891	0.4
ENSG00000010318	PHF7	0.0461310840035742	-0.4	4.61814124650321e-05	-0.5
ENSG00000010319	SEMA3G	0.085816688423193	-0.5	0.000748538371374171	-0.7
ENSG00000010322	NISCH	0.856660109633371	0	0.012777321781834	-0.2
ENSG00000010327	STAB1	0.277704013765226	0.2	0.084876727746515	0.2
ENSG00000010361	FUZ	0.784801904583849	0.1	0.850914433770242	0
ENSG00000010379	SLC6A13	0.975888852052792	0	0.131639897779946	-0.4
ENSG00000010404	IDS	0.0437431260293661	-0.3	0.00705103525705895	-0.2
ENSG00000010438	PRSS3	0.367979929542344	-0.4	0.00139407807274059	-0.6
ENSG00000010539	ZNF200	0.85500000862679	0	0.246110590972934	0.1
ENSG00000010610	CD4	0.581448021980372	0.2	0.00452147872913498	0.3
ENSG00000010626	LRRC23	0.82968695075569	-0.1	0.846564617729037	0
ENSG00000010671	BTK	0.819285121631271	-0.1	0.51170221462343	-0.1
ENSG00000010704	HFE	0.0212768758824285	0.3	8.38733643242828e-12	0.4
ENSG00000010803	SCMH1	0.455977300986247	-0.1	0.000570329529109663	-0.2
ENSG00000010810	FYN	0.885939740424588	0	0.926116220345385	0
ENSG00000010818	HIVEP2	0.434680185290786	-0.2	0.65281241928572	-0.1
ENSG00000010932	FMO1	0.00696696136476275	-1.1	3.255432737819e-05	-1.3
ENSG00000011007	ELOA	0.960644769337197	0	0.00295124691340016	0.1
ENSG00000011009	LYPLA2	0.400917148558872	0.2	0.981450932508575	0
ENSG00000011021	CLCN6	0.694767658541797	-0.1	0.00524066115566323	-0.2
ENSG00000011028	MRC2	0.00495083448096813	0.5	1.82842512405164e-10	0.9
ENSG00000011052	NME1-NME2	NA	0.6	0.798154411626294	0.1
ENSG00000011083	SLC6A7	0.523686329095303	0.3	0.936625502126849	0
ENSG00000011105	TSPAN9	0.00117013099299205	0.6	2.86318915537266e-09	0.8
ENSG00000011114	BTBD7	0.11022337463649	-0.2	0.782160054672272	0
ENSG00000011132	APBA3	0.664063770393415	0.1	0.0371342119317274	-0.1
ENSG00000011143	MKS1	0.764878782610068	0	0.490728063870332	0
ENSG00000011198	ABHD5	0.410300200132274	-0.2	0.532215507442816	0.1
ENSG00000011201	ANOS1	0.832156342027932	-0.1	0.0333981803350647	0.4
ENSG00000011243	AKAP8L	0.672051394367886	0.1	0.163416363158847	-0.1
ENSG00000011258	MBTD1	0.0765965482335113	-0.3	0.0143969778653215	-0.2
ENSG00000011260	UTP18	0.860650505922965	0	0.234330177441604	0.1
ENSG00000011275	RNF216	0.855007916004783	0	0.591581892884444	0
ENSG00000011295	TTC19	0.079326169085014	-0.3	4.35841671157728e-05	-0.3
ENSG00000011304	PTBP1	0.505735915869362	0.1	0.95598569943587	0
ENSG00000011332	DPF1	0.867525584571318	-0.1	0.564130300181958	-0.2
ENSG00000011347	SYT7	0.827651986392203	-0.1	0.104484896191675	-0.3
ENSG00000011376	LARS2	0.122301821410042	0.3	1.28951748180444e-05	0.4
ENSG00000011405	PIK3C2A	0.98175537921791	0	0.0563084795451836	0.2
ENSG00000011422	PLAUR	3.09100807705104e-11	1.8	1.28566812726544e-22	2.1
ENSG00000011426	ANLN	0.62171304549502	0.2	6.2464469664318e-05	0.5
ENSG00000011451	WIZ	0.779080888436499	0	0.194402671853925	0.1
ENSG00000011454	RABGAP1	0.467838511845834	-0.1	0.757495924212144	0
ENSG00000011465	DCN	0.437566802226929	0.2	1.00724162194145e-07	0.9
ENSG00000011478	QPCTL	0.0247924453533993	0.4	0.00306626107891239	0.3
ENSG00000011485	PPP5C	0.321393214648411	0.1	0.0499847178384642	0.1
ENSG00000011523	CEP68	0.532314438219037	-0.1	0.808921539809617	0
ENSG00000011566	MAP4K3	0.387223624865954	-0.2	0.775451430867033	0
ENSG00000011590	ZBTB32	0.792031254459155	0.1	0.870416185003762	0.1
ENSG00000011600	TYROBP	0.000103010687148078	0.9	9.08228971265193e-09	1
ENSG00000011638	TMEM159	0.36756401971307	-0.2	0.62603308948851	-0.1
ENSG00000011677	GABRA3	NA	-0.4	0.079370555219066	-0.8
ENSG00000012048	BRCA1	0.618166061510151	-0.1	0.699249259130667	0
ENSG00000012061	ERCC1	0.941598351157461	0	0.108941052753519	-0.1
ENSG00000012124	CD22	0.428948777583028	-0.4	0.00443776553605666	-0.7
ENSG00000012171	SEMA3B	0.275773815784678	-0.4	2.10144865384279e-05	-0.8
ENSG00000012174	MBTPS2	0.485113322585306	-0.1	0.000573174910924925	0.2
ENSG00000012211	PRICKLE3	0.926617490229899	0	0.0294365255822856	0.1
ENSG00000012223	LTF	0.914639102553437	0.1	0.579980990369356	-0.2
ENSG00000012232	EXTL3	0.0890285265473978	0.2	1.51182321034403e-08	0.3
ENSG00000012504	NR1H4	0.846476235891017	-0.1	0.166158359045545	-0.3
ENSG00000012660	ELOVL5	0.784182993431168	0.1	0.622043200674963	0.1
ENSG00000012779	ALOX5	0.298652347207907	0.3	0.689465387522748	0.1
ENSG00000012817	KDM5D	0.727840362390098	-0.2	0.835237781361526	-0.1
ENSG00000012822	CALCOCO1	0.881161176048212	0	0.264269598474719	-0.1
ENSG00000012963	UBR7	0.00236808070322907	-0.2	0.0216807675653135	-0.1
ENSG00000012983	MAP4K5	0.941437526959226	0	0.825566031888788	0
ENSG00000013016	EHD3	0.566129634026842	0.2	0.0027213231653875	0.5
ENSG00000013275	PSMC4	0.542112023974206	0.1	0.418695381640671	0.1
ENSG00000013288	MAN2B2	0.822918202656317	0	0.612743098360238	0
ENSG00000013293	SLC7A14	0.0176911163419124	-0.6	0.00277934142286293	-0.4
ENSG00000013297	CLDN11	0.965890472582871	0	0.990104366390478	0
ENSG00000013306	SLC25A39	0.220850516241289	0.2	0.335457553253455	0.1
ENSG00000013364	MVP	0.485196382598873	0.2	0.3284184822994	-0.1
ENSG00000013374	NUB1	0.136041541787648	0.2	0.704788405652349	0
ENSG00000013375	PGM3	0.0354232889553118	0.3	1.6442471728231e-07	0.3
ENSG00000013392	RWDD2A	0.00106959454507918	0.3	2.43961331595784e-07	0.3
ENSG00000013441	CLK1	0.845293007661849	0	0.00908673840011875	-0.2
ENSG00000013503	POLR3B	0.968528006391358	0	0.614127750259901	0
ENSG00000013523	ANGEL1	0.127983186060771	0.3	1.57360457193705e-06	0.3
ENSG00000013561	RNF14	0.0284597419836721	-0.3	0.0117948040965686	-0.1
ENSG00000013563	DNASE1L1	0.168843943130198	0.2	0.416851670216589	0.1
ENSG00000013573	DDX11	0.744927913418694	0.1	0.102395870708584	-0.2
ENSG00000013583	HEBP1	0.0618531835194504	-0.6	7.93368262946756e-06	-0.8
ENSG00000013588	GPRC5A	0.77960391107286	0.1	0.145097902554752	0.3
