geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0022604	regulation of cell morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022604	473	34	14.343013439589384	2.3704920966017977	2.9554964164901776e-6	2.2837926854696824e-4	673;811;816;1523;1613;1630;2045;2633;3791;3815;4131;4133;5063;5789;5802;5979;6696;7074;7533;8322;8997;9202;9839;10084;10611;23043;29904;51760;55023;56882;57142;57175;64411;81565	ARAP3;BRAF;CALR;CAMK2B;CDC42SE1;CORO1B;CUX1;DAPK3;DCC;EEF2K;EPHA7;FZD4;GBP1;KALRN;KDR;KIT;MAP1B;MAP2;NDEL1;PAK3;PDLIM5;PHIP;PQBP1;PTPRD;PTPRS;RET;RTN4;SPP1;SYT17;TIAM1;TNIK;YWHAH;ZEB2;ZMYM4
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	434	32	13.160397109475248	2.4315375694066694	3.4236433206213945e-6	2.4250806854401544e-4	650;657;673;790;999;1448;1499;1896;2030;2066;2692;2737;3280;3845;4087;4763;5290;5915;6790;7048;7052;7421;8626;8792;8997;10370;10522;11231;51176;55294;57142;64919	AURKA;BCL11B;BMP2;BMPR1A;BRAF;CAD;CDH1;CITED2;CSN3;CTNNB1;DEAF1;EDA;ERBB4;FBXW7;GHRHR;GLI3;HES1;KALRN;KRAS;LEF1;NF1;PIK3CA;RARB;RTN4;SEC63;SLC29A1;SMAD2;TGFBR2;TGM2;TNFRSF11A;TP63;VDR
GO:0010959	regulation of metal ion transport	http://amigo.geneontology.org/amigo/term/GO:0010959	360	28	10.916458431822786	2.5649344221727297	5.193090590216443e-6	3.244011645174373e-4	134;287;302;493;782;783;801;816;818;1193;1272;1499;1756;3627;4283;4846;5027;5187;5581;6373;7533;7881;9472;9474;10142;54106;55800;65125	ADORA1;AKAP6;AKAP9;ANK2;ANXA2;ATG5;ATP2B4;CACNB1;CACNB2;CALM1;CAMK2B;CAMK2G;CLIC2;CNTN1;CTNNB1;CXCL10;CXCL11;CXCL9;DMD;KCNAB1;NOS3;P2RX7;PER1;PRKCE;SCN3B;TLR9;WNK1;YWHAH
GO:0051271	negative regulation of cellular component movement	http://amigo.geneontology.org/amigo/term/GO:0051271	301	25	9.127372188829607	2.7390139771659427	5.343078003816615e-6	3.244011645174373e-4	134;140;657;673;811;999;1281;1800;2066;3486;4035;4163;4763;5314;5468;5795;10076;10370;10563;11122;51466;57175;64411;83481;201163	ADORA1;ADORA3;ARAP3;BMPR1A;BRAF;CALR;CDH1;CITED2;COL3A1;CORO1B;CXCL13;DPEP1;EPPK1;ERBB4;EVL;FLCN;IGFBP3;LRP1;MCC;NF1;PKHD1;PPARG;PTPRJ;PTPRT;PTPRU
GO:0048545	response to steroid hormone	http://amigo.geneontology.org/amigo/term/GO:0048545	388	29	11.765516309853448	2.464830206874383	7.635949461626268e-6	4.327038028254885e-4	189;654;760;790;801;811;1499;2033;2308;2692;3845;4306;5187;5468;5915;6095;6198;6696;6872;7048;7332;7421;7533;8626;8928;9967;10076;26508;51176	AGXT;BMP6;CA2;CAD;CALM1;CALR;CTNNB1;EP300;FOXH1;FOXO1;GHRHR;HEYL;KRAS;LEF1;NR3C2;PER1;PPARG;PTPRU;RARB;RORA;RPS6KB1;SPP1;TAF1;TGFBR2;THRAP3;TP63;UBE2L3;VDR;YWHAH
GO:0048645	animal organ formation	http://amigo.geneontology.org/amigo/term/GO:0048645	61	10	1.8497332342810833	5.406184964766878	1.3416449832215349e-5	7.127488973364404e-4	657;1499;2737;3280;4036;5292;7048;8626;8928;10370	BMPR1A;CITED2;CTNNB1;FOXH1;GLI3;HES1;LRP2;PIM1;TGFBR2;TP63
GO:0032147	activation of protein kinase activity	http://amigo.geneontology.org/amigo/term/GO:0032147	321	25	9.733842101708651	2.5683589007070053	1.6271723561889218e-5	8.135861780944609e-4	114;134;283;650;673;2074;2911;3815;5027;5063;5290;5585;5590;5606;5609;5979;6416;7048;7295;8737;10920;22974;23043;65125;245711	ADCY8;ADORA1;ANG;BMP2;BRAF;COPS8;ERCC6;GRM1;KIT;MAP2K3;MAP2K4;MAP2K7;P2RX7;PAK3;PIK3CA;PKN1;PRKCZ;RET;RIPK1;SPDYA;TGFBR2;TNIK;TPX2;TXN;WNK1
GO:0051098	regulation of binding	http://amigo.geneontology.org/amigo/term/GO:0051098	367	27	11.128722901330452	2.4261543969948356	2.0879290564157493e-5	9.808622752964975e-4	60;302;650;801;1193;1499;1649;1981;2033;2959;3280;4035;4087;4133;4751;5468;6653;6790;6872;6934;7074;7295;8664;26119;51176;55294;129531	ACTB;ANXA2;AURKA;BMP2;CALM1;CLIC2;CTNNB1;DDIT3;EIF3D;EIF4G1;EP300;FBXW7;GTF2B;HES1;LDLRAP1;LEF1;LRP1;MAP2;MITD1;NEK2;PPARG;SMAD2;SORL1;TAF1;TCF7L2;TIAM1;TXN
GO:0051235	maintenance of location	http://amigo.geneontology.org/amigo/term/GO:0051235	309	24	9.369960153981225	2.561376954180812	2.508899535136333e-5	9.808622752964975e-4	19;287;338;801;811;1193;1649;1756;3627;4283;5027;5468;5581;6373;6653;6721;7295;9472;9474;9908;10142;23345;50944;55294	ABCA1;AKAP6;AKAP9;ANK2;APOB;ATG5;CALM1;CALR;CLIC2;CXCL10;CXCL11;CXCL9;DDIT3;DMD;FBXW7;G3BP2;P2RX7;PPARG;PRKCE;SHANK1;SORL1;SREBF2;SYNE1;TXN
GO:0060537	muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0060537	371	27	11.25001688390626	2.3999963981054036	2.5283975461976027e-5	9.808622752964975e-4	650;657;688;811;891;1281;1499;1958;2033;2066;4036;4763;5292;5915;6198;6416;7048;7881;8928;9328;9472;9474;10611;26508;51176;60485;91807	AKAP6;ATG5;BMP2;BMPR1A;CALR;CCNB1;COL3A1;CTNNB1;EGR1;EP300;ERBB4;FOXH1;GTF3C5;HEYL;KCNAB1;KLF5;LEF1;LRP2;MAP2K4;MYLK3;NF1;PDLIM5;PIM1;RARB;RPS6KB1;SAV1;TGFBR2
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	27	11.280340379550212	2.39354479488469	2.6509276780828372e-5	9.808622752964975e-4	283;650;654;657;1386;1499;3280;3486;3791;3815;3915;4163;4763;4893;5468;5587;5798;6667;7421;8626;10522;26160;55294;57142;60485;64919;83481	ANG;ATF2;BCL11B;BMP2;BMP6;BMPR1A;CTNNB1;DEAF1;EPPK1;FBXW7;HES1;IFT172;IGFBP3;KDR;KIT;LAMC1;MCC;NF1;NRAS;PPARG;PRKD1;PTPRN;RTN4;SAV1;SP1;TP63;VDR
GO:0055123	digestive system development	http://amigo.geneontology.org/amigo/term/GO:0055123	142	15	4.30593638144121	3.4835628470152766	2.692858451891489e-5	9.808622752964975e-4	688;891;1281;1499;2737;3280;3815;4087;5915;5979;7048;8626;26160;54806;60485	AHI1;CCNB1;COL3A1;CTNNB1;GLI3;HES1;IFT172;KIT;KLF5;RARB;RET;SAV1;SMAD2;TGFBR2;TP63
GO:0044872	lipoprotein localization	http://amigo.geneontology.org/amigo/term/GO:0044872	21	6	0.6367934085229959	9.422208081450842	2.769209125741412e-5	9.808622752964975e-4	338;4035;4036;5468;5579;8029	APOB;CUBN;LRP1;LRP2;PPARG;PRKCB
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	459	31	13.918484500574053	2.2272539800379443	2.7694934831901108e-5	9.808622752964975e-4	324;650;801;1499;1501;1613;1649;1896;1958;2308;2737;3484;4035;4163;4772;4919;4920;6934;7074;8322;8796;8861;9839;10076;23043;51176;51741;65125;84445;122011;100133941	APC;BMP2;CALM1;CD24;CSNK1A1L;CTNNB1;CTNND2;DAPK3;DDIT3;EDA;EGR1;FOXO1;FZD4;GLI3;IGFBP1;LDB1;LEF1;LRP1;LZTS2;MCC;NFATC1;PTPRU;ROR1;ROR2;SCEL;TCF7L2;TIAM1;TNIK;WNK1;WWOX;ZEB2
GO:0040013	negative regulation of locomotion	http://amigo.geneontology.org/amigo/term/GO:0040013	314	24	9.521577632200986	2.5205906969486334	3.2549030123840694e-5	0.0011066670242105836	134;140;657;673;811;999;1281;1800;2066;3486;4035;4163;4763;5468;5795;10076;10370;10563;11122;51466;57175;64411;83481;201163	ADORA1;ADORA3;ARAP3;BMPR1A;BRAF;CALR;CDH1;CITED2;COL3A1;CORO1B;CXCL13;DPEP1;EPPK1;ERBB4;EVL;FLCN;IGFBP3;LRP1;MCC;NF1;PPARG;PTPRJ;PTPRT;PTPRU
GO:0016358	dendrite development	http://amigo.geneontology.org/amigo/term/GO:0016358	219	19	6.6408455460255285	2.8610814493903245	3.9601637217501207e-5	0.0012946689090336933	816;1501;1523;1630;4131;4133;4891;5063;5789;5802;7074;7533;8997;10084;10611;23043;29904;50944;80243	CAMK2B;CTNND2;CUX1;DCC;EEF2K;KALRN;MAP1B;MAP2;PAK3;PDLIM5;PQBP1;PREX2;PTPRD;PTPRS;SHANK1;SLC11A2;TIAM1;TNIK;YWHAH
GO:0043254	regulation of protein complex assembly	http://amigo.geneontology.org/amigo/term/GO:0043254	447	30	13.554602552846626	2.2132703547032184	4.1933238173696985e-5	0.001319020100530588	19;472;822;1015;1499;1981;2033;2959;3054;4133;5063;5581;5590;5601;5701;5705;6653;6712;6872;7157;9924;10142;10497;10563;10565;51466;56681;57175;57617;96459	ABCA1;AKAP9;ARFGEF1;ATM;CAPG;CDH17;CORO1B;CTNNB1;CXCL13;EIF4G1;EP300;EVL;FNIP1;GTF2B;HCFC1;MAP2;MAPK9;PAK3;PAN2;PRKCE;PRKCZ;PSMC2;PSMC5;SAR1A;SORL1;SPTBN2;TAF1;TP53;UNC13B;VPS18
GO:0048871	multicellular organismal homeostasis	http://amigo.geneontology.org/amigo/term/GO:0048871	470	31	14.252042952657527	2.1751267592285455	4.345007389983113e-5	0.001319020100530588	31;60;114;134;324;654;760;1499;1649;1958;1981;2074;2308;2778;3845;4763;4846;4891;5027;5290;6009;6338;6340;6696;8029;8626;8792;8861;23154;54106;201163	ACACA;ACTB;ADCY8;ADORA1;APC;BMP6;CA2;CTNNB1;CUBN;DDIT3;EGR1;EIF4G1;ERCC6;FLCN;FOXO1;GNAS;KRAS;LDB1;NCDN;NF1;NOS3;P2RX7;PIK3CA;RHEB;SCNN1B;SCNN1G;SLC11A2;SPP1;TLR9;TNFRSF11A;TP63
GO:0010975	regulation of neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0010975	475	31	14.403660430877288	2.1522306880787716	5.2999200678804925e-5	0.0015298426783734904	673;816;1272;1523;1630;2033;2042;2045;2895;4035;4131;4133;5063;5587;5789;5802;5979;6696;7074;7533;8322;8997;9839;10084;10611;23043;29904;50944;51760;57142;81565	BRAF;CAMK2B;CNTN1;CUX1;DCC;EEF2K;EP300;EPHA3;EPHA7;FZD4;GRID2;KALRN;LRP1;MAP1B;MAP2;NDEL1;PAK3;PDLIM5;PQBP1;PRKD1;PTPRD;PTPRS;RET;RTN4;SHANK1;SPP1;SYT17;TIAM1;TNIK;YWHAH;ZEB2
GO:0006984	ER-nucleus signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0006984	45	8	1.3645573039778482	5.862707250680525	5.399444747200555e-5	0.0015298426783734904	811;1388;1649;3484;7157;51141;55160;55294	ARHGEF10L;ATF6B;CALR;DDIT3;FBXW7;IGFBP1;INSIG2;TP53
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	371	26	11.25001688390626	2.3111076426200183	6.710064174975106e-5	0.0018398563060415612	650;654;657;1499;2132;2261;2737;2778;3486;3572;4256;4313;4322;4763;4920;5027;5587;5701;6169;6696;8626;8792;9770;23020;51176;51741	BMP2;BMP6;BMPR1A;CTNNB1;EXT2;FGFR3;GLI3;GNAS;IGFBP3;IL6ST;LEF1;MGP;MMP13;MMP2;NF1;P2RX7;PRKD1;PSMC2;RASSF2;ROR2;RPL38;SNRNP200;SPP1;TNFRSF11A;TP63;WWOX
GO:0070972	protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0070972	137	14	4.15431890322145	3.369986832051761	7.159649186816441e-5	0.0019017818152481172	287;6155;6157;6168;6169;6181;6193;6204;6205;6223;6224;7095;11231;57142	ANK2;RPL27;RPL27A;RPL37A;RPL38;RPLP2;RPS10;RPS11;RPS19;RPS20;RPS5;RTN4;SEC62;SEC63
GO:0001101	response to acid chemical	http://amigo.geneontology.org/amigo/term/GO:0001101	332	24	10.067400553792126	2.3839321651863576	7.882137676884504e-5	0.002030247583439948	19;31;338;472;493;654;891;1147;1281;1386;1728;1958;2042;2308;3791;4313;5468;5581;5915;5979;6198;8322;51141;80310	ABCA1;ACACA;APOB;ATF2;ATM;ATP2B4;BMP6;CCNB1;CHUK;COL3A1;EGR1;EPHA3;FOXO1;FZD4;INSIG2;KDR;MMP2;NQO1;PDGFD;PPARG;PRKCE;RARB;RET;RPS6KB1
GO:0030099	myeloid cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030099	379	26	11.492604849057878	2.2623243678417593	9.52276872082658e-5	0.00234477929210275	302;760;863;1499;2033;2778;3815;4254;4763;4891;4920;5316;5468;5579;5588;5657;6223;7048;8737;8792;8861;9770;10202;22985;51176;55294	ACIN1;ANXA2;CA2;CBFA2T3;CTNNB1;DHRS2;EP300;FBXW7;GNAS;KIT;KITLG;LDB1;LEF1;NF1;PKNOX1;PPARG;PRKCB;PRKCQ;PRTN3;RASSF2;RIPK1;ROR2;RPS19;SLC11A2;TGFBR2;TNFRSF11A
GO:0016569	covalent chromatin modification	http://amigo.geneontology.org/amigo/term/GO:0016569	468	30	14.191395961369622	2.1139569413511508	9.654973555717206e-5	0.00234477929210275	472;891;1386;1499;2005;2033;2070;2959;3009;3054;5187;5579;5585;5587;6418;6790;6872;8295;8520;8861;9474;10445;10467;11137;23569;51176;55806;56950;79858;201163	ATF2;ATG5;ATM;AURKA;CCNB1;CTNNB1;ELK4;EP300;EYA4;FLCN;GTF2B;HAT1;HCFC1;HIST1H1B;HR;LDB1;LEF1;MCRS1;NEK11;PADI4;PER1;PKN1;PRKCB;PRKD1;PWP1;SET;SMYD2;TAF1;TRRAP;ZNHIT1
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	337	24	10.219018032011887	2.348562251756293	9.93928526031862e-5	0.0023467756864641184	134;283;355;472;650;863;891;1958;2030;2033;2308;4313;4538;4763;4891;5468;5581;6095;7048;7157;7515;10370;29904;100133941	ADORA1;ANG;ATM;BMP2;CBFA2T3;CCNB1;CD24;CITED2;EEF2K;EGR1;EP300;FAS;FOXO1;MMP2;ND4;NF1;PPARG;PRKCE;RORA;SLC11A2;SLC29A1;TGFBR2;TP53;XRCC1
GO:0001667	ameboidal-type cell migration	http://amigo.geneontology.org/amigo/term/GO:0001667	381	26	11.553251840345784	2.250448649375398	1.0373480325420736e-4	0.0023830968315155746	673;811;2066;3791;3815;4163;4254;4763;4846;5063;5290;5468;5581;5585;5587;5606;5979;6667;7048;9839;10563;51466;55294;57142;57175;83481	BRAF;CALR;CORO1B;CXCL13;EPPK1;ERBB4;EVL;FBXW7;KDR;KIT;KITLG;MAP2K3;MCC;NF1;NOS3;PAK3;PIK3CA;PKN1;PPARG;PRKCE;PRKD1;RET;RTN4;SP1;TGFBR2;ZEB2
GO:0016049	cell growth	http://amigo.geneontology.org/amigo/term/GO:0016049	473	30	14.343013439589384	2.091610673472174	1.1661984980304574e-4	0.002608601903489181	1499;1630;1981;2045;3009;3484;3486;4131;4133;5468;5588;5590;5795;5802;6098;6416;6696;6790;7048;7074;7157;9472;9746;9839;10611;51176;51760;57142;81565;201163	AKAP6;AURKA;CLSTN3;CTNNB1;DCC;EIF4G1;EPHA7;FLCN;HIST1H1B;IGFBP1;IGFBP3;LEF1;MAP1B;MAP2;MAP2K4;NDEL1;PDLIM5;PPARG;PRKCQ;PRKCZ;PTPRJ;PTPRS;ROS1;RTN4;SPP1;SYT17;TGFBR2;TIAM1;TP53;ZEB2
GO:0050808	synapse organization	http://amigo.geneontology.org/amigo/term/GO:0050808	385	26	11.67454582292159	2.227067364706563	1.228161440249842e-4	0.00267676211336504	60;782;783;816;999;1499;1501;1741;1981;2045;2066;2339;2895;5063;5789;5802;6712;7074;8997;9746;10497;10611;22866;29904;50944;79012	ACTB;CACNB1;CACNB2;CAMK2B;CAMKV;CDH1;CLSTN3;CNKSR2;CTNNB1;CTNND2;DLG3;EEF2K;EIF4G1;EPHA7;ERBB4;FNTA;GRID2;KALRN;PAK3;PDLIM5;PTPRD;PTPRS;SHANK1;SPTBN2;TIAM1;UNC13B
GO:0060249	anatomical structure homeostasis	http://amigo.geneontology.org/amigo/term/GO:0060249	408	27	12.371986222732492	2.182349665924276	1.277703815936171e-4	0.002715120608864363	31;60;134;472;760;783;1499;1756;2074;2778;3845;4751;4763;4846;5027;5422;5588;5609;6696;7486;7515;8029;8792;8861;10714;23154;54106	ACACA;ACTB;ADORA1;ATM;CA2;CACNB2;CTNNB1;CUBN;DMD;ERCC6;GNAS;KRAS;LDB1;MAP2K7;NCDN;NEK2;NF1;NOS3;P2RX7;POLA1;POLD3;PRKCQ;SPP1;TLR9;TNFRSF11A;WRN;XRCC1
GO:0062012	regulation of small molecule metabolic process	http://amigo.geneontology.org/amigo/term/GO:0062012	344	24	10.431282501519552	2.3007717408193917	1.3622233671384265e-4	0.002762776308016748	31;338;341;493;650;654;863;891;1728;1958;2308;3486;3815;4846;5027;5468;5581;6095;6667;6721;7421;26119;51141;201163	ACACA;APOB;APOC1;ATP2B4;BMP2;BMP6;CBFA2T3;CCNB1;EGR1;FLCN;FOXO1;IGFBP3;INSIG2;KIT;LDLRAP1;NOS3;NQO1;P2RX7;PPARG;PRKCE;RORA;SP1;SREBF2;VDR
GO:0033002	muscle cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0033002	182	16	5.518876207199297	2.899140948138721	1.365136528667099e-4	0.002762776308016748	283;657;891;1499;2066;3486;4313;5292;5468;6198;6934;7048;7052;26119;60485;80310	ANG;BMPR1A;CCNB1;CTNNB1;ERBB4;IGFBP3;LDLRAP1;MMP2;PDGFD;PIM1;PPARG;RPS6KB1;SAV1;TCF7L2;TGFBR2;TGM2
GO:0023061	signal release	http://amigo.geneontology.org/amigo/term/GO:0023061	456	29	13.827514013642197	2.0972678076036413	1.4442410511072978e-4	0.002839235391854239	114;134;640;654;673;783;801;818;2692;2778;4087;4763;5027;5211;5579;5581;5715;5798;5799;6696;6934;7074;8322;8997;10497;23621;51760;57617;143425	ADCY8;ADORA1;BACE1;BLK;BMP6;BRAF;CACNB2;CALM1;CAMK2G;FZD4;GHRHR;GNAS;KALRN;NF1;P2RX7;PFKL;PRKCB;PRKCE;PSMD9;PTPRN;PTPRN2;SMAD2;SPP1;SYT17;SYT9;TCF7L2;TIAM1;UNC13B;VPS18
GO:0060485	mesenchyme development	http://amigo.geneontology.org/amigo/term/GO:0060485	262	20	7.944755858715473	2.5173838385555687	1.4887123539986113e-4	0.002839235391854239	650;657;1499;2042;2066;3280;4087;4254;4846;5979;6949;7048;7074;8928;9839;10370;26508;51176;57142;60412	BMP2;BMPR1A;CITED2;CTNNB1;EPHA3;ERBB4;EXOC4;FOXH1;HES1;HEYL;KITLG;LEF1;NOS3;RET;RTN4;SMAD2;TCOF1;TGFBR2;TIAM1;ZEB2
GO:0090130	tissue migration	http://amigo.geneontology.org/amigo/term/GO:0090130	283	21	8.581549267238469	2.447110579458081	1.5215532351309236e-4	0.002839235391854239	811;3791;3815;4163;4763;4846;5290;5468;5581;5585;5587;5606;6667;7048;9839;10563;51466;55294;57142;57175;83481	CALR;CORO1B;CXCL13;EPPK1;EVL;FBXW7;KDR;KIT;MAP2K3;MCC;NF1;NOS3;PIK3CA;PKN1;PPARG;PRKCE;PRKD1;RTN4;SP1;TGFBR2;ZEB2
GO:0001655	urogenital system development	http://amigo.geneontology.org/amigo/term/GO:0001655	326	23	9.885459579928412	2.326649541585254	1.5874333117249506e-4	0.002839235391854239	650;654;760;1499;1958;2045;2737;3280;4087;4763;4811;5314;5915;5979;8626;11231;26508;50484;54806;80310;84445;201163;100133941	AHI1;BMP2;BMP6;CA2;CD24;CTNNB1;EGR1;EPHA7;FLCN;GLI3;HES1;HEYL;LZTS2;NF1;NID1;PDGFD;PKHD1;RARB;RET;RRM2B;SEC63;SMAD2;TP63
