Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
neutrophil migration (GO:1990266)	24/77	9.72350769336299E-14	3.2547232115420484E-11	0	0	9.104093380236648	272.7736127651291	CXCL6;CXCL9;CXCL8;FCER1G;SYK;CCL3L1;CXCL1;CXCL3;CXCL2;CXCL5;CXCL10;CXCL11;CCL7;CXCR1;CCL4;CXCR2;CCL3;SAA1;CCL2;S100A12;S100A9;S100A8;CD177;PF4
regulation of immune response (GO:0050776)	36/179	2.421395638793074E-13	7.103504602648828E-11	0	0	5.102223956301209	148.21584112573387	COL17A1;IFITM1;SIGLEC9;TREM2;LILRA1;CD1B;TREM1;ICAM1;FCGR3A;FCGR3B;SLAMF7;FCER1A;FCGR1A;CD276;APPL1;AMBP;SYK;CD300A;HLA-B;HLA-C;PILRA;LILRB2;HLA-F;FOXP3;HLA-E;OSCAR;FGR;PLSCR1;TYROBP;COL2A1;FCGR2A;IRF1;CD300E;CD300C;SIGLEC7;NECTIN2
response to interferon-gamma (GO:0034341)	24/80	2.508027154656023E-13	7.103504602648828E-11	0	0	8.615012106537531	249.9569068341525	IFITM3;GBP5;IFITM1;IFITM2;CCL3L1;STAT1;SLC11A1;WNT5A;ACOD1;MEFV;CXCL16;CYP27B1;CCL7;UBD;CCL4;CASP1;CCL3;CCL2;LGALS9;GBP2;TRIM21;GBP1;GBP4;TLR2
cellular response to interferon-gamma (GO:0071346)	29/121	4.947393051529108E-13	1.3011643725521553E-10	0	0	6.3580589896744915	180.15398288437916	CCL3L1;PTAFR;IFI30;ICAM1;OASL;CCL7;CCL4;CASP1;CCL3;CCL2;LGALS9;FCGR1A;GBP2;TRIM21;GBP1;GBP4;GBP5;STAT1;WNT5A;HLA-B;ACOD1;HLA-C;HLA-F;PML;HLA-E;HCK;IFNG;IRF1;TLR2
response to lipopolysaccharide (GO:0032496)	33/159	9.581259115447768E-13	2.3518797375385785E-10	0	0	5.295798319327731	146.5548486688778	CD86;CD274;CXCL6;CXCL9;CXCL8;SERPINE1;CXCL1;NOD2;CXCL3;CXCL2;CXCL5;CYP27B1;SBNO2;ZC3H12A;CASP1;CCL2;LGALS9;CD14;NOS2;SLC11A1;WNT5A;ACOD1;LILRB2;SELE;CXCL10;IL1A;CXCL11;IL6;SLPI;IL1B;S100A9;S100A8;PF4
regulation of inflammatory response (GO:0050727)	37/206	4.131824165465198E-12	9.508360360776786E-10	0	0	4.435842353135587	116.27363991671392	TNFAIP6;SERPINE1;LPL;IFI35;FPR2;NOD2;MEFV;PTGS2;PLA2G7;LILRA5;SBNO2;CASP5;HYAL2;NFKBIZ;FFAR4;CASP1;CCL3;S100A12;VPS35;FFAR2;CCR2;ZBP1;SPHK1;WNT5A;MMP3;PLA2G2A;OSM;ACOD1;SELE;HCK;IL6;IFNG;IL1B;SAA1;S100A9;S100A8;TLR2
regulation of phagocytosis (GO:0050764)	19/58	1.3617484643552018E-11	2.9493869680916784E-9	0	0	9.750263435194942	243.94833956591702	IL15RA;FCER1G;SYK;SLC11A1;SPHK1;DYSF;TREM2;FPR2;OLFM4;GATA2;SIRPB1;FGR;HCK;PLSCR1;IFNG;CLEC7A;IL1B;TGM2;TLR2
cellular response to lipopolysaccharide (GO:0071222)	27/120	1.5428607226930648E-11	3.156007322753258E-9	0	0	5.843166158170786	145.46443953797777	CD86;CD274;CXCL6;CXCL9;CXCL8;SERPINE1;CXCL1;NOD2;CXCL3;CXCL2;CXCL5;SBNO2;ZC3H12A;CASP1;CCL3;CCL2;CD14;WNT5A;ACOD1;LILRB2;CXCL10;HCK;IL1A;CXCL11;IL6;IL1B;PF4
positive regulation of inflammatory response (GO:0050729)	23/89	2.4198989933335892E-11	4.689509522870671E-9	0	0	6.994035594035594	170.96717337805632	ZBP1;SERPINE1;WNT5A;PLA2G2A;OSM;C2CD4A;LPL;PLA2G3;C2CD4B;IFI35;PLA2G7;LILRA5;IL6;IFNG;HYAL2;IL1B;NFKBIZ;CCL3;S100A12;S100A9;S100A8;CCR2;TLR2
cellular response to molecule of bacterial origin (GO:0071219)	26/115	3.266698955188637E-11	6.013992776502281E-9	0	0	5.874639185095064	141.84114249341	CD86;CD274;CXCL6;CXCL9;CXCL8;SERPINE1;CXCL1;NOD2;CXCL3;CXCL2;CXCL5;SBNO2;ZC3H12A;CASP1;CCL2;CD14;WNT5A;ACOD1;LILRB2;CXCL10;IL1A;CXCL11;IL6;IL1B;TLR2;PF4
positive regulation of interleukin-1 production (GO:0032732)	19/62	5.120820690973083E-11	8.978505611506139E-9	0	0	8.841399759845125	209.49803982014922	GBP5;EGR1;WNT5A;LPL;NLRC4;NOD2;LILRA2;LILRA5;IL6;TYROBP;IFNG;CLEC7A;CASP1;CCL3;SAA1;TLR8;MNDA;CD36;LGALS9
positive regulation of interleukin-1 beta production (GO:0032731)	18/56	6.746939341374298E-11	1.1291923024972802E-8	0	0	9.470692520775623	221.79743496482158	GBP5;EGR1;WNT5A;LPL;NLRC4;NOD2;LILRA2;LILRA5;IL6;TYROBP;IFNG;CLEC7A;CASP1;CCL3;TLR8;MNDA;CD36;LGALS9
cellular response to oxygen-containing compound (GO:1901701)	45/323	1.661160035490154E-10	2.659300543771629E-8	0	0	3.288970124009135	74.06213025186268	CD86;CD274;CXCL6;CXCL9;CXCL8;AQP9;SERPINE1;LPL;CXCL1;NOD2;CXCL3;CXCL2;CXCL5;AQP1;SBNO2;P2RY6;ZC3H12A;CASP1;CCL2;FFAR2;CD14;WNT2;PDK2;TGM2;EGR1;FZD7;WNT5A;MMP3;ACOD1;GPBAR1;FOS;LILRB2;TSHR;IL1A;CXCL10;SFRP1;CXCL11;IL6;NR4A3;FES;IL1B;GNB1;RAPGEF3;TLR2;PF4
positive regulation of defense response (GO:0031349)	23/98	1.9999812079756942E-10	3.068304503236044E-8	0	0	6.151830687830688	137.38707007061794	ZBP1;GBP5;SERPINE1;WNT5A;PLA2G2A;OSM;LPL;IFI35;FPR2;PLA2G7;LILRA5;PLSCR1;IFNG;HYAL2;IL1B;NFKBIZ;CCL3;S100A12;TLR8;S100A9;S100A8;CCR2;TLR2
regulation of interleukin-1 beta production (GO:0032651)	21/83	2.7338085795226905E-10	4.026353275921019E-8	0	0	6.784923527608407	149.4050691584206	GBP5;EGR1;WNT5A;LPL;NLRC4;NOD2;LILRA2;MEFV;LILRA5;IL6;TYROBP;IFNG;CLEC7A;ZC3H12A;CASP1;FFAR4;CCL3;TLR8;MNDA;CD36;LGALS9
cellular response to lipid (GO:0071396)	35/219	4.455135321454552E-10	6.309157020613715E-8	0	0	3.8426767323733633	82.73972186678708	CD86;CD274;CXCL6;CXCL9;CXCL8;SERPINE1;LPL;CXCL1;NOD2;CXCL3;CXCL2;CXCL5;AQP1;SBNO2;ZC3H12A;CASP1;CCL2;FFAR2;CD14;WNT2;FZD7;NCOA4;WNT5A;ACOD1;GPBAR1;LILRB2;IL1A;CXCL10;SFRP1;CXCL11;IL6;ADAM15;FES;IL1B;PF4
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	20/81	1.1595859981240353E-9	1.581331720404703E-7	0	0	6.561181434599156	134.99763858313963	CD86;SYK;WNT5A;LPL;PTPRJ;NOD2;LILRA2;HLA-E;LILRA5;IL1A;IL6;TYROBP;IFNG;CLEC7A;CCL3;LGALS9;CD14;CCR2;TLR2;PF4
defense response to bacterium (GO:0042742)	30/176	1.6316900577225613E-9	2.145672425905168E-7	0	0	4.137190758536087	83.71046778099381	CEBPB;SERPINE1;TREM2;FPR2;NLRC4;NOD2;AQP1;JCHAIN;DMBT1;SLAMF8;S100A12;PI3;GBP2;GBP4;FCER1G;SYK;NOS2;SLC11A1;PLA2G2A;RNASE2;LYZ;HLA-E;FGR;IGLL5;IL6;SLPI;LCN2;S100A9;S100A8;TLR2
cellular response to chemokine (GO:1990869)	17/60	2.0654812383300985E-9	2.6224489377694564E-7	0	0	7.89408945296261	157.8652319367336	CXCL6;CXCL9;CXCL8;CCL3L1;CXCL1;CXCL3;CXCL2;CXCL5;CXCL10;CXCL11;CCL7;ZC3H12A;CCL4;CCL3;CCL2;CCR2;PF4
positive regulation of interleukin-6 production (GO:0032755)	19/76	2.4031955249238907E-9	2.9495219742565884E-7	0	0	6.66491043203372	132.27492172477992	SYK;NOS2;WNT5A;LPL;NOD2;LILRB2;LILRA2;LILRA5;IL1A;IL6;TYROBP;IFNG;CLEC7A;HYAL2;IL1B;TLR8;LGALS9;RAB7B;TLR2
positive regulation of response to external stimulus (GO:0032103)	26/139	2.613378609017586E-9	3.104019367226694E-7	0	0	4.621066080453939	91.32438203033382	SERPINE1;LPL;TREM2;IFI35;FPR2;PLA2G7;OASL;LILRA5;HYAL2;NFKBIZ;CCL3;S100A12;CCR2;ZBP1;GBP5;WNT5A;PLA2G2A;OSM;ACOD1;PLSCR1;IFNG;IL1B;TLR8;S100A9;S100A8;TLR2
positive regulation of tumor necrosis factor production (GO:0032760)	19/77	3.047220496380907E-9	3.506208083648281E-7	0	0	6.549652992260456	128.43238114564122	SYK;WNT5A;LPL;PTPRJ;NOD2;LILRA2;HLA-E;LILRA5;IL1A;IL6;TYROBP;IFNG;CLEC7A;CCL3;LGALS9;CD14;CCR2;TLR2;PF4
chemokine-mediated signaling pathway (GO:0070098)	16/56	5.378509342485548E-9	6.001112545161148E-7	0	0	7.979831932773109	151.94281936529072	CXCL6;CXCL9;CXCL8;CCL3L1;CXCL1;CXCL3;CXCL2;CXCL5;CXCL10;CXCL11;CCL7;CCL4;CCL3;CCL2;CCR2;PF4
regulation of interleukin-6 production (GO:0032675)	22/110	1.2070389398478964E-8	1.3071521695646925E-6	0	0	5.006342494714588	91.27819230512418	SYK;NOS2;WNT5A;HLA-B;LPL;TREM2;NOD2;LILRB2;LILRA2;LILRA5;IL1A;IL6;TYROBP;IFNG;CLEC7A;HYAL2;IL1B;ZC3H12A;TLR8;LGALS9;RAB7B;TLR2
response to cytokine (GO:0034097)	26/150	1.382418524464723E-8	1.4543042877368888E-6	0	0	4.2086843366892674	76.16391324959673	IFITM3;CD274;CSF3;IFITM1;IFITM2;ASAH2;MEFV;CXCL16;IL18BP;CYP27B1;UBD;CASP1;LGALS9;TIMP1;TRIM21;STAT1;SLC11A1;SPHK1;SELE;PML;PLSCR1;ALDH1A2;IL1B;CHI3L1;TRIM32;IL18R1
interferon-gamma-mediated signaling pathway (GO:0060333)	17/68	1.6631108242393698E-8	1.7009927930137108E-6	0	0	6.652996845425868	119.16841898498338	STAT1;PTAFR;HLA-B;HLA-C;IFI30;HLA-F;PML;ICAM1;OASL;HLA-E;HCK;IFNG;IRF1;FCGR1A;GBP2;TRIM21;GBP1
positive regulation of interleukin-8 production (GO:0032757)	16/61	2.0849864388578324E-8	2.074843261587713E-6	0	0	7.091316526610644	125.41644538762972	FCN1;SYK;NOS2;SERPINE1;NOD2;LILRA2;IL6;CLEC7A;HYAL2;IL1B;CHI3L1;TLR8;FFAR2;LGALS9;CD14;TLR2
positive regulation of cellular process (GO:0048522)	63/625	2.92037282948087E-8	2.8296875679338323E-6	0	0	2.2878236762942135	39.69138307729574	CD86;CSF3;REG1B;REG1A;TREM2;PTPRJ;TCIRG1;AREG;CXCL5;SIRPB1;CXCL16;SHH;ESM1;CCND1;NAMPT;ZC3H12A;PROK2;TIMP1;CCN2;CD36;TRIM21;TGM2;IL15RA;IL11;FCER1G;SPHK1;TNFRSF18;SLC11A1;WNT5A;CDC25B;HCK;MMP14;SFRP1;IFNG;CEACAM6;IL1B;S100A9;S100A8;HBEGF;TLR2;HPN;FPR2;GATA2;LILRA2;LILRA5;FXR1;SDCBP;CLEC7A;CXCR2;PDPN;RPRD1B;TPPP;WNT2;IL12RB2;FZD7;TNFSF13;OSM;TSHR;FOSL1;IL6;FGF18;SAA1;TRIM32
cellular response to type I interferon (GO:0071357)	16/65	5.5522543965168444E-8	5.110850171993755E-6	0	0	6.511061567484137	108.77689837659695	IFITM3;EGR1;IFITM1;IFITM2;STAT1;HLA-B;HLA-C;IFI35;HLA-F;PSMB8;OASL;HLA-E;ISG20;IFI27;IRF1;GBP2
type I interferon signaling pathway (GO:0060337)	16/65	5.5522543965168444E-8	5.110850171993755E-6	0	0	6.511061567484137	108.77689837659695	IFITM3;EGR1;IFITM1;IFITM2;STAT1;HLA-B;HLA-C;IFI35;HLA-F;PSMB8;OASL;HLA-E;ISG20;IFI27;IRF1;GBP2
extracellular structure organization (GO:0043062)	31/216	5.823530087331626E-8	5.124590181566235E-6	0	0	3.370486601863336	56.14817498122227	VIT;COL17A1;COL18A1;LAMC3;SERPINE1;ICAM1;ADAMTS4;VTN;ADAMTS14;MMP25;ADAMTS2;MMP24;ADAMTSL4;ADAMTS1;ITGB8;SLC39A8;MMP7;VWF;MMP1;MMP3;MMP10;MMP12;BCAN;MMP14;COL2A1;MMP13;ADAM15;COL5A3;COL7A1;MMP19;COL9A2
regulation of cytokine production (GO:0001817)	25/150	5.845540131064146E-8	5.124590181566235E-6	0	0	4.009968186638388	66.78602714272601	IL26;TREM2;RPS6KA4;FFAR4;LGALS9;TRIM21;CD276;CCR2;ZBP1;BTN3A1;NOS2;SLC11A1;NFAM1;HLA-B;BTN3A3;ATP2B1;FOXP3;CLEC4A;FGR;IL1A;IL6;IFNG;CLEC6A;SAA1;TRIM32
regulation of cell activation (GO:0050865)	7/10	6.428489537023823E-8	5.427702057567061E-6	0	0	46.20291363163371	765.1175303289338	IL6;FCER1G;TEC;SYK;TREM2;LILRA2;LILRA5
external encapsulating structure organization (GO:0045229)	31/217	6.486118699971502E-8	5.427702057567061E-6	0	0	3.352187833511206	55.482115926600315	VIT;COL17A1;COL18A1;LAMC3;SERPINE1;ICAM1;ADAMTS4;VTN;ADAMTS14;MMP25;ADAMTS2;MMP24;ADAMTSL4;ADAMTS1;ITGB8;SLC39A8;MMP7;VWF;MMP1;MMP3;MMP10;MMP12;BCAN;MMP14;COL2A1;MMP13;ADAM15;COL5A3;COL7A1;MMP19;COL9A2
positive regulation of phagocytosis (GO:0050766)	14/53	1.4467690156696876E-7	1.1837785590435088E-5	0	0	7.146750524109015	112.55247912270337	IL15RA;FCER1G;SLC11A1;PTPRJ;TREM2;ANO6;FPR2;GATA2;SIRPB1;C2;IFNG;CLEC7A;IL1B;CCL2
response to tumor necrosis factor (GO:0034612)	20/110	2.862685007277669E-7	2.291392651477473E-5	0	0	4.440225035161744	66.89792075372628	CXCL8;CCL3L1;SPHK1;ACOD1;SELE;YBX3;CXCL16;DCSTAMP;SFRP1;CCL7;UBD;HYAL2;ZC3H12A;CCL4;CCL3;CHI3L1;CCL2;GBP2;GBP1;TRIM32
defense response to virus (GO:0051607)	22/133	4.1230142075229535E-7	3.22998687491479E-5	0	0	3.964173475801383	58.279340560264	IFITM3;ZBP1;FCN3;IFITM1;IFITM2;MLKL;STAT1;NLRC5;ACOD1;ZDHHC11;RNASE2;AICDA;OASL;ISG20;CXCL10;IL6;PLSCR1;IFI27;IRF1;TLR8;APOBEC3A;TLR2
regulation of complement activation (GO:0030449)	13/50	4.932819332945844E-7	3.7754231417640826E-5	0	0	6.988396773737088	101.48679047701728	C1QB;C1QA;C5AR1;CFI;C4BPA;C4BPB;C2;VTN;C6;IL1B;CFB;CD55;C1QC
regulation of tumor necrosis factor production (GO:0032680)	21/124	5.024327374971213E-7	3.7754231417640826E-5	0	0	4.075301668016526	59.10737688522998	SYK;WNT5A;LPL;PTPRJ;NOD2;LILRA2;HLA-E;LILRA5;CLEC4A;IL1A;IL6;TYROBP;IFNG;CLEC7A;ZC3H12A;CCL3;LGALS9;CD14;CCR2;TLR2;PF4
regulation of angiogenesis (GO:0045765)	28/203	5.786684453390778E-7	4.261314431476969E-5	0	0	3.2097021276595745	46.099462860607304	SEMA5A;CXCL8;SERPINE1;SEMA3E;GATA2;HK2;AQP1;ADAMTS1;ZC3H12A;PROK2;ITGB8;GLUL;CCR2;STAT1;SPHK1;WNT5A;PML;WARS1;IL1A;CXCL10;SFRP1;IL6;AGO1;IL1B;FGF18;CHI3L1;RAPGEF3;PF4
macrophage activation involved in immune response (GO:0002281)	7/13	8.084049825469229E-7	5.8363669524270006E-5	0	0	23.097814776274713	324.0208273307399	SBNO2;TYROBP;SYK;IFNG;DYSF;TREM2;IFI35
regulation of cell population proliferation (GO:0042127)	68/764	9.165470751765937E-7	6.489858328461958E-5	0	0	1.9904980842911877	27.673202982518067	ACVRL1;CD86;COL18A1;CSF3;IFITM1;CXCL9;CXCL8;TFRC;REG1B;REG1A;PTPRJ;CXCL1;TCIRG1;IFI35;AREG;CXCL5;SHH;ESM1;ADAMTS1;RPS6KA2;NAMPT;PROK2;TIMP1;PIM2;JUNB;IL11;FGFBP1;IGFBP3;FOXP3;CDC25B;HCK;IL1A;SFRP1;IFNG;CEACAM6;IL1B;ALDH1A2;IRF1;MZB1;HBEGF;CCL3L1;CYP27B1;SDCBP;CLEC7A;CXCR2;PDPN;RPRD1B;WNT2;S100A11;IL12RB2;TFAP2C;STAT1;TNFSF13;OSM;INHBA;SOD2;ALOX15B;PML;TSHR;WARS1;FOSL1;CXCL10;CXCL11;IL6;NR4A3;FES;FGF18;PF4
positive regulation of chemokine production (GO:0032722)	13/53	1.0219141141524404E-6	7.099410883602426E-5	0	0	6.463246073298429	89.15293766291582	EGR1;SYK;WNT5A;LPL;ALOX15B;ADCYAP1;IL6;IFNG;CLEC7A;IL1B;FFAR2;LGALS9;TLR2
positive regulation of intracellular signal transduction (GO:1902533)	53/546	1.190426862292295E-6	8.11694760548191E-5	0	0	2.1781819794056685	29.713012984028808	SEMA5A;CD86;CSF3;TFRC;GOLT1B;IL26;TREM2;PTPRJ;IFI35;AREG;LITAF;OASL;CASP10;FFAR4;CASP1;PIM2;LGALS9;TRIM21;TGM2;IL11;VWF;SPHK1;HGF;WNT5A;FGR;PTP4A3;IL1B;CHI3L1;S100A9;S100A8;HBEGF;TLR2;NOD2;RTN4;LILRA5;CLEC7A;UBD;CCL4;CCL3;S100A12;CD14;BID;APOL3;KL;GDF15;OSM;IL6;TCIM;CLEC6A;TRIP6;FGF18;HPSE;TRIM32
myeloid cell activation involved in immune response (GO:0002275)	8/19	1.371905389541645E-6	9.101345064453249E-5	0	0	14.409848484848485	194.52301159290846	SBNO2;FCER1G;TYROBP;SYK;IFNG;DYSF;IFI35;LILRA2
regulation of interleukin-8 production (GO:0032677)	16/81	1.389919771902987E-6	9.101345064453249E-5	0	0	4.904201680672269	66.13936117667896	FCN1;SYK;NOS2;SERPINE1;NOD2;LILRA2;IL6;CLEC7A;HYAL2;IL1B;CHI3L1;TLR8;FFAR2;LGALS9;CD14;TLR2
extracellular matrix organization (GO:0030198)	35/300	1.4089534727697858E-6	9.101345064453249E-5	0	0	2.656656353010172	35.792236672902455	VIT;COL17A1;COL18A1;LAMC3;SERPINE1;CTSS;ICAM1;ADAMTS4;VTN;ADAMTS14;MMP25;ADAMTS2;MMP24;ADAMTSL4;ADAMTS1;ITGB8;QSOX1;SLC39A8;TIMP1;MMP7;VWF;MMP1;MMP3;MMP10;MMP12;BCAN;MMP14;COL2A1;MMP13;ADAM15;COL5A3;COL7A1;MMP19;TLL1;COL9A2
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	14/64	1.7520207845105897E-6	1.0933797506047442E-4	0	0	5.571236897274633	73.84530046398983	CXCL6;CXCL9;CXCL8;REG1B;REG1A;CXCL1;CXCL3;CXCL2;CXCL5;CXCL10;CXCL11;S100A12;S100A9;PF4
regulation of innate immune response (GO:0045088)	14/64	1.7520207845105897E-6	1.0933797506047442E-4	0	0	5.571236897274633	73.84530046398983	GBP5;ACOD1;TRAFD1;TREM2;IFI35;FPR2;PARP9;HLA-E;FGR;PLSCR1;IRF1;TLR8;TRIM21;APPL1
